#Entity         GPUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        
ID                                                                                                 
GPU 0           100               1.000        0.981        0.245        0.878        0.377        
GPU 0           100               1.000        0.981        0.245        0.878        0.378        
GPU 0           100               1.000        0.981        0.245        0.878        0.376        
GPU 0           100               1.000        0.981        0.245        0.878        0.377        
GPU 0           100               1.000        0.981        0.245        0.878        0.375        
GPU 0           100               1.000        0.981        0.245        0.878        0.372        
GPU 0           100               1.000        0.981        0.245        0.878        0.375        
GPU 0           100               1.000        0.981        0.245        0.878        0.370        
GPU 0           100               1.000        0.981        0.245        0.878        0.371        
GPU 0           100               1.000        0.981        0.245        0.878        0.372        
GPU 0           100               1.000        0.981        0.245        0.878        0.369        
GPU 0           100               1.000        0.981        0.245        0.878        0.371        
#Entity         GPUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        
ID                                                                                                 
GPU 0           100               1.000        0.981        0.245        0.878        0.368        
GPU 0           100               1.000        0.981        0.245        0.878        0.367        
GPU 0           100               1.000        0.981        0.245        0.878        0.366        
GPU 0           100               1.000        0.981        0.245        0.878        0.368        
GPU 0           100               1.000        0.981        0.245        0.878        0.364        
GPU 0           100               1.000        0.981        0.245        0.878        0.365        
GPU 0           100               1.000        0.981        0.245        0.878        0.367        
GPU 0           100               1.000        0.981        0.245        0.878        0.365        
GPU 0           100               1.000        0.981        0.245        0.878        0.362        
GPU 0           100               1.000        0.981        0.245        0.878        0.363        
GPU 0           100               1.000        0.981        0.245        0.878        0.361        
GPU 0           100               1.000        0.981        0.245        0.878        0.359        
GPU 0           100               1.000        0.981        0.245        0.878        0.359        
GPU 0           100               1.000        0.981        0.245        0.878        0.358        
#Entity         GPUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        
ID                                                                                                 
GPU 0           100               1.000        0.981        0.245        0.878        0.357        
GPU 0           100               1.000        0.981        0.245        0.878        0.358        
GPU 0           100               1.000        0.981        0.245        0.878        0.356        
GPU 0           100               1.000        0.981        0.245        0.878        0.356        
GPU 0           100               1.000        0.981        0.245        0.878        0.355        
GPU 0           100               1.000        0.981        0.245        0.878        0.356        
GPU 0           100               1.000        0.981        0.245        0.878        0.355        
GPU 0           100               1.000        0.981        0.245        0.878        0.354        
GPU 0           100               1.000        0.981        0.245        0.878        0.355        
GPU 0           100               1.000        0.981        0.245        0.878        0.355        
GPU 0           100               1.000        0.981        0.245        0.878        0.356        
GPU 0           100               1.000        0.981        0.245        0.878        0.355        
GPU 0           100               1.000        0.981        0.245        0.878        0.355        
GPU 0           100               1.000        0.981        0.245        0.878        0.355        
#Entity         GPUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        
ID                                                                                                 
GPU 0           100               1.000        0.981        0.245        0.878        0.355        
GPU 0           100               1.000        0.981        0.245        0.878        0.354        
GPU 0           100               1.000        0.981        0.245        0.878        0.354        
GPU 0           100               1.000        0.981        0.245        0.878        0.355        
GPU 0           100               1.000        0.981        0.245        0.878        0.354        
GPU 0           100               1.000        0.981        0.245        0.878        0.355        
GPU 0           100               1.000        0.981        0.245        0.878        0.355        
GPU 0           100               1.000        0.981        0.245        0.878        0.355        
GPU 0           100               1.000        0.981        0.245        0.878        0.354        
GPU 0           100               1.000        0.981        0.245        0.878        0.355        
GPU 0           100               1.000        0.981        0.245        0.878        0.354        
GPU 0           100               1.000        0.981        0.245        0.878        0.355        
GPU 0           100               1.000        0.981        0.245        0.878        0.354        
GPU 0           100               1.000        0.981        0.245        0.878        0.355        
#Entity         GPUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        
ID                                                                                                 
GPU 0           100               1.000        0.981        0.245        0.878        0.355        
GPU 0           100               1.000        0.981        0.245        0.878        0.353        
GPU 0           100               1.000        0.981        0.245        0.878        0.353        
GPU 0           100               1.000        0.981        0.245        0.878        0.354        
GPU 0           100               1.000        0.982        0.245        0.878        0.352        
GPU 0           100               1.000        0.981        0.245        0.878        0.354        
GPU 0           100               1.000        0.981        0.245        0.878        0.351        
GPU 0           100               1.000        0.982        0.245        0.878        0.351        
GPU 0           100               1.000        0.981        0.245        0.878        0.349        
GPU 0           100               1.000        0.982        0.245        0.878        0.351        
GPU 0           100               1.000        0.981        0.245        0.878        0.352        
GPU 0           100               1.000        0.981        0.245        0.878        0.351        
GPU 0           100               1.000        0.981        0.245        0.878        0.350        
GPU 0           100               1.000        0.982        0.245        0.878        0.350        
#Entity         GPUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        
ID                                                                                                 
GPU 0           100               1.000        0.982        0.245        0.878        0.350        
GPU 0           100               1.000        0.982        0.245        0.878        0.350        
GPU 0           100               1.000        0.981        0.245        0.878        0.349        
GPU 0           100               1.000        0.982        0.245        0.878        0.348        
GPU 0           100               1.000        0.982        0.245        0.878        0.347        
GPU 0           100               1.000        0.981        0.245        0.878        0.349        
GPU 0           100               1.000        0.982        0.245        0.878        0.348        
GPU 0           100               1.000        0.982        0.245        0.878        0.347        
GPU 0           100               1.000        0.982        0.245        0.878        0.348        
GPU 0           100               1.000        0.982        0.245        0.878        0.347        
GPU 0           100               1.000        0.982        0.245        0.878        0.346        
GPU 0           100               1.000        0.982        0.245        0.878        0.347        
GPU 0           100               1.000        0.982        0.245        0.878        0.347        
GPU 0           100               1.000        0.982        0.245        0.878        0.346        
#Entity         GPUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        
ID                                                                                                 
GPU 0           100               1.000        0.982        0.245        0.878        0.347        
GPU 0           100               1.000        0.982        0.245        0.878        0.346        
GPU 0           100               1.000        0.982        0.245        0.878        0.346        
GPU 0           100               1.000        0.982        0.245        0.878        0.345        
GPU 0           100               1.000        0.982        0.245        0.878        0.345        
GPU 0           100               1.000        0.982        0.245        0.878        0.346        
GPU 0           100               1.000        0.982        0.245        0.878        0.344        
GPU 0           100               1.000        0.982        0.245        0.878        0.345        
GPU 0           100               1.000        0.982        0.245        0.878        0.344        
GPU 0           100               1.000        0.982        0.245        0.878        0.344        
GPU 0           100               1.000        0.982        0.245        0.878        0.344        
GPU 0           100               0.937        0.909        0.227        0.814        0.326        
GPU 0           3                 0.000        0.000        0.000        0.000        0.001        
GPU 0           0                 0.000        0.000        0.000        0.000        0.000        
#Entity         GPUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        
ID                                                                                                 
GPU 0           0                 0.000        0.000        0.000        0.000        0.000        
GPU 0           0                 0.000        0.000        0.000        0.000        0.000        
GPU 0           0                 0.000        0.000        0.000        0.000        0.000        
